Country,State,Observation Date,Clouds,Precipitation,Temperature (F),Number Seen in 10 s,Different Colors,Location,Grassy,Is the Grass Mowed?,Fertilized,Weed Killer,Pesticides
US,MA,5/22/08 18:15,Clear,None,62,0,0,City,Yes,Weekly,I don't know,I don't know,I don't know
US,MA,6/16/08 23:30,Cloudy,Misty,76,0,0,City,Yes,Weekly,I don't know,I don't know,I don't know
US,MA,7/7/08 19:15,Clear,None,79,0,0,City,Yes,Weekly,I don't know,I don't know,I don't know
US,MA,7/8/08 1:00,Clear,None,82,0,0,City,Yes,Weekly,I don't know,I don't know,I don't know
US,MA,7/8/08 3:15,Cloudy,Misty,79,4,2,City,Yes,Weekly,I don't know,I don't know,I don't know
US,MA,7/8/08 13:15,Clear,None,78,0,0,City,Yes,Weekly,I don't know,I don't know,I don't know
US,MA,7/11/08 15:30,Clear,None,27,5,2,City,Yes,Weekly,I don't know,I don't know,I don't know
US,MA,5/22/08 21:30,Partly cloudy,Light rain,50,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,5/26/08 22:00,Cloudy,None,62,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,5/27/08 21:30,Cloudy,None,67,1,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,5/31/08 21:30,Partly cloudy,None,60,3,2,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/3/08 21:30,Cloudy,None,67,1,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/7/08 21:00,Clear,None,78,1,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/12/08 21:00,Clear,None,60,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/14/08 21:30,Cloudy,None,65,3,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/19/08 21:30,Clear,None,59,3,2,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/25/08 21:45,Clear,None,66,4,2,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/5/08 21:15,Clear,None,70,4,2,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/7/08 21:30,Clear,None,81,4,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/9/08 21:30,Partly cloudy,None,75,4,2,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/14/08 22:00,Partly cloudy,None,70,3,2,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/19/08 21:30,Partly cloudy,None,75,4,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/24/08 21:00,Cloudy,Heavy rain,68,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/26/08 21:00,Clear,None,73,1,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/28/08 21:00,Clear,None,69,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/31/08 21:00,Cloudy,None,77,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,8/6/08 21:00,Cloudy,None,63,1,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,8/11/08 20:30,Cloudy,None,65,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,8/17/08 20:45,Clear,None,67,1,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,8/23/08 20:45,Clear,None,64,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,2/9/09 21:00,Clear,None,27,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,5/5/09 20:00,Cloudy,Misty,43,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,5/19/09 21:00,Clear,None,51,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,5/31/09 21:30,Clear,None,52,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/1/09 21:00,Partly cloudy,None,53,3,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/3/09 21:00,Cloudy,Light rain,52,3,2,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/8/09 21:00,Cloudy,None,54,3,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/9/09 21:00,Cloudy,Misty,50,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/15/09 20:30,Clear,None,52,3,2,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/16/09 21:30,Clear,None,50,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/18/09 21:30,Cloudy,None,60,3,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/21/09 21:30,Cloudy,None,66,3,2,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/26/09 21:30,Cloudy,None,73,4,2,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,6/28/09 21:30,Cloudy,Misty,61,4,2,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/5/09 21:30,Clear,None,62,3,2,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/8/09 21:00,Cloudy,None,62,3,2,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/13/09 21:30,Partly cloudy,None,62,2,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/15/09 21:45,Partly cloudy,None,66,1,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/20/09 21:30,Cloudy,None,66,3,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,7/24/09 20:45,Partly cloudy,None,61,1,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,8/2/09 21:00,Clear,None,66,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,8/6/09 21:00,Partly cloudy,None,63,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,8/10/09 21:00,Clear,None,74,1,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,8/17/09 21:00,Clear,None,74,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,5/2/10 20:00,Cloudy,None,75,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,5/5/10 21:00,Cloudy,None,68,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,5/14/10 21:00,Clear,None,63,0,0,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,5/15/10 21:00,Partly cloudy,None,66,2,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,5/24/10 21:30,Clear,None,54,2,1,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,5/25/10 21:30,Clear,None,64,2,2,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,5/28/10 21:30,Clear,None,56,2,2,Suburban/rural mix,Yes,Weekly,No,No,No
US,MA,5/30/10 20:30,Clear,None,64,3,1,Suburban/rural mix,Yes,Weekly,No,No,No
